episode,dlon,dlat,dalt
0,-0.0010231592682892667,-0.0036884769637275296,148.35815143081516
0,-0.0009707120460848897,-0.0038522217989024033,148.3150664215671
0,-0.0007482429231605399,-0.003919819327215071,149.7253347001231
0,-0.0007145598678324674,-0.004043680817283587,149.4253393493519
0,-0.000699682718799853,-0.004154370698683159,148.93630972841007
0,-0.0007086722086576212,-0.00425938679227812,148.27629964613178
0,-0.0007488405237060384,-0.004369020173367268,147.4872902247508
0,-0.0036231175781178022,-0.004011524325051561,163.61663658657037
0,-0.003955380194189667,-0.0041716408296094375,167.97116441687695
0,-0.004291686211514805,-0.004265244580133565,171.81278067157334
0,-0.004678357993788235,-0.00427432838820954,175.58725247892735
0,-0.005063253741205461,-0.004255691142557574,184.6061526379473
0,-0.0057441503529936,-0.00406471188992342,190.41091962455255
0,-0.006546077590904181,-0.0038123557015397086,196.64756971966722
0,-0.007367281924154021,-0.003530316860428341,202.97752433718034
0,-0.00808412287859827,-0.003254501302488958,208.88354572681826
0,-0.008626886315164216,-0.003009198979244004,213.97327097534966
0,-0.00813371565135664,-0.002468349999309492,235.03315038445461
0,-0.008348269581860268,-0.002268146569567449,240.41247631280584
0,-0.008530669827560455,-0.002053366389504419,245.31068073446517
0,-0.0087321149241459,-0.0018159021918228622,249.90772283802775
0,-0.008981509027839533,-0.0015788873689959021,254.20257714395248
0,-0.009279130763295292,-0.001385244446604107,258.06933423522565
0,-0.009169007861937755,-0.0009703048129449076,275.50028611921977
0,-0.009344024398753162,-0.0009761490057628418,278.40363901136516
0,-0.009469705151346697,-0.0009872615456972083,280.6642474295913
0,-0.009535324818974473,-0.0010079721401845632,282.2898586044148
0,-0.00954530515859889,-0.0010462240055068427,283.3264211218116
0,-0.009515903176209487,-0.0011038492101265323,283.81639956317923
0,-0.009233671855208165,-0.0017372043146563158,289.92587012891767
0,-0.009206068237744103,-0.0017671426342478768,289.2405660882277
0,-0.00918934188722478,-0.0017505448289089722,288.0703182035348
0,-0.009181658891542885,-0.0016777692506090775,286.53527591479997
0,-0.009178403078524213,-0.0015445441207534675,284.7814109759445
0,-0.00917079778356722,-0.0013518391241463148,282.9560426200137
0,-0.00886880968236794,-0.000801347452515493,280.07221168587967
0,-0.008756866722275512,-0.0005282338962535887,277.7923643035023
0,-0.008634148100484481,-0.00025838639721681954,272.53624832279394
0,-0.008566530163309789,1.1707536396682403e-06,260.1889959502588
0,-0.008626584084203982,0.00024164401440998086,235.87078513054905
0,-0.008819536753102347,0.0004639291426324994,201.79627566688342
0,-0.009055172343513126,0.0006942858723092647,169.98161069128994
0,-0.009270518856549295,0.0009602175616625799,147.543617251984
0,-0.00950582663418351,0.002215890967250256,132.10225156825362
