var
765
640
649
644
689
655
771
777
711
726
699
637
653
731
734
681
886
622
824
664
728
734
752
686
723
640
722
655
738
807
629
641
655
769
680
647
644
761
745
694
831
795
683
843
650
656
800
655
754
665
776
734
747
664
597
650
589
644
782
599
597
684
620
678
786
626
585
611
656
755
805
636
610
717
753
728
906
906
633
738
703
815
687
686
626
671
750
611
639
667
647
612
655
599
593
621
628
588
620
2
