longitude,latitude,altitude,timestamp,Pressure_surface,Relative_humidity_isobaric,Temperature_isobaric,Wind_speed_gust_surface,u-component_of_wind_isobaric,v-component_of_wind_isobaric,latent1,latent2,latent3,episode
1.671905383227096475e+00,1.865492804920453107e+00,-1.850196275282207869e+00,-1.156486289124638717e-01,7.736220311527216564e-01,-1.116065473007851611e-01,1.859061824341158520e+00,-1.883044463507342614e-01,-8.705023671612232006e-01,-7.205066652224526545e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.671424991766132573e+00,1.851067686075196450e+00,-1.835603077710520781e+00,-1.156397961826137744e-01,7.736220311527216564e-01,-1.116065473007851611e-01,1.859061824341158520e+00,-1.883044463507342614e-01,-8.705023671612232006e-01,-7.205066652224526545e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.668133735650120020e+00,1.840112842351479872e+00,-1.804094845775283451e+00,-1.156309634527636770e-01,7.736220311527216564e-01,-1.116065473007851611e-01,1.859061824341158520e+00,-1.883044463507342614e-01,-8.705023671612232006e-01,-7.205066652224526545e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.666669715762862714e+00,1.830914770755946330e+00,-1.783072069337646948e+00,-1.156221307229135797e-01,7.736220311527216564e-01,4.143940693828135347e-02,1.750276445283008853e+00,-1.883044463507342614e-01,-8.147482570245908606e-01,1.353394582599168686e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.668285212002926787e+00,1.809211943748846529e+00,-1.780852268649993908e+00,-1.156132979930634824e-01,7.736220311527216564e-01,4.143940693828135347e-02,1.750276445283008853e+00,-1.883044463507342614e-01,-8.147482570245908606e-01,1.353394582599168686e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.666889212645797702e+00,1.798407227686444010e+00,-1.779534592109252911e+00,-1.156044652632133851e-01,7.736220311527216564e-01,4.143940693828135347e-02,1.750276445283008853e+00,-1.883044463507342614e-01,-8.147482570245908606e-01,1.353394582599168686e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.664227957637685051e+00,1.785694136782034258e+00,-1.760517039930966421e+00,-1.155956325333632878e-01,7.736220311527216564e-01,4.143940693828135347e-02,1.750276445283008853e+00,-1.883044463507342614e-01,-8.147482570245908606e-01,1.353394582599168686e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.662498782912487094e+00,1.765944879282499214e+00,-1.747769105548767854e+00,-1.155867998035132044e-01,7.736220311527216564e-01,4.143940693828135347e-02,1.750276445283008853e+00,-1.883044463507342614e-01,-8.147482570245908606e-01,1.353394582599168686e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.660775070317152213e+00,1.748131610877650788e+00,-1.740940523499929116e+00,-1.155779670736631071e-01,1.493331608839038260e+00,-2.959573558160245588e-01,1.710718125625499075e+00,-1.883044463507342614e-01,-8.514471649626274008e-01,-1.332344501736923981e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.659833999744275479e+00,1.720843778569552063e+00,-1.729281610983460560e+00,-1.155691343438130098e-01,1.493331608839038260e+00,-2.959573558160245588e-01,1.710718125625499075e+00,-1.883044463507342614e-01,-8.514471649626274008e-01,-1.332344501736923981e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.660754757835370521e+00,1.701266994400268739e+00,-1.711993945076241141e+00,-1.155603016139629124e-01,1.493331608839038260e+00,-2.959573558160245588e-01,1.710718125625499075e+00,-1.883044463507342614e-01,-8.514471649626274008e-01,-1.332344501736923981e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.659400715974858942e+00,1.686672742746712306e+00,-1.708240837376980181e+00,-1.155514688841128151e-01,1.493331608839038260e+00,-3.098706243832123897e-01,1.646435856182046242e+00,-1.883044463507342614e-01,-7.265297283273878248e-01,-2.305482779560916462e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
