dlon,dlat,dalt,episode
3.098853017843394841e+00,-8.368955798031014748e-01,2.031450733071328507e+00,1.000000000000000000e+00
3.409093578464302166e+00,-4.770744623017233454e-01,2.656789935709154893e+00,1.000000000000000000e+00
3.602092833830575991e+00,-2.311695859495745520e+00,1.000923154325751963e+00,1.000000000000000000e+00
2.691866386392467003e+00,-2.668022673317745230e+00,1.132987649961790577e+00,1.000000000000000000e+00
2.358885785570993043e+00,-1.641530451186484107e+00,1.489079972429173893e+00,1.000000000000000000e+00
1.652295470860576820e+00,-2.483517288878378082e+00,8.645127556269678326e-01,1.000000000000000000e+00
1.273376624408343982e+00,-1.956465107145313409e+00,-1.383790043868373676e-01,1.000000000000000000e+00
6.186961703317872541e-02,-2.746597456574531471e+00,2.380520181535817681e+00,1.000000000000000000e+00
6.128188676431515214e-01,-2.756070726779725977e+00,8.939628069403534605e-01,1.000000000000000000e+00
1.279885557037599986e+00,-2.005768517437755083e+00,2.851591350621990095e+00,1.000000000000000000e+00
1.537147892608544675e-01,-2.091269905046121647e+00,1.817086155876947329e+00,1.000000000000000000e+00
1.422549089463374550e+00,-1.705733848329185953e+00,2.168387201684276899e+00,1.000000000000000000e+00
8.184881828597068143e-01,-2.566988947351477535e+00,1.960383875594064795e+00,1.000000000000000000e+00
6.671898868963174190e-01,-1.807391628365286218e+00,1.631369636223722219e+00,1.000000000000000000e+00
1.634189809191639808e+00,-2.188466935185252815e+00,1.693212029643239802e+00,1.000000000000000000e+00
1.953623927412974526e+00,-1.874609951463027668e+00,3.018411034070257237e+00,1.000000000000000000e+00
6.018010491089720304e-02,-1.692698300472363027e+00,1.294807109541279200e+00,1.000000000000000000e+00
1.024583002080369676e+00,-2.081414709110659622e+00,2.630125694222132271e+00,1.000000000000000000e+00
4.465806579011489807e-01,2.120946749055172553e-01,1.451155371972610464e+00,1.000000000000000000e+00
2.593206781438017750e-01,4.913029940992128530e-01,2.446034588736693660e+00,1.000000000000000000e+00
4.960997551655824678e-01,-1.339563093489797296e+00,3.323040831453462296e+00,1.000000000000000000e+00
-4.923305114987256426e-01,1.314236953873419322e+00,2.855446101308260598e+00,1.000000000000000000e+00
2.680242727342851961e-01,4.748979338177597986e-01,2.425160801753420969e+00,1.000000000000000000e+00
-6.000860309628190947e-01,7.068779074068315404e-01,2.070397210833587742e+00,1.000000000000000000e+00
3.790269186972090032e-01,1.225156549536142725e+00,2.912352781005114633e+00,1.000000000000000000e+00
-3.683364803652637298e-01,7.608273029980454627e-01,2.920285171938813651e+00,1.000000000000000000e+00
1.871900618116167370e-01,5.705817294774728765e-01,2.015090141193540685e+00,1.000000000000000000e+00
1.026900901219306217e+00,-1.308329164377939891e-01,2.545760042792931888e+00,1.000000000000000000e+00
-8.775859993351823318e-01,-2.965080474807202937e-01,3.307774965506370624e+00,1.000000000000000000e+00
