dlon,dlat,dalt,episode
2.841948494382921186e+00,-5.167590568922337813e-01,1.409791751887167655e+00,1.000000000000000000e+00
3.265127091320732422e+00,-6.201841676683648164e-01,7.324009838766358804e-01,1.000000000000000000e+00
2.863600296317719174e+00,-7.027562061858270148e-01,1.107596625323535866e+00,1.000000000000000000e+00
2.921322527361770671e+00,-6.512504904492428803e-01,2.222225626517219776e+00,1.000000000000000000e+00
2.450986827475727381e+00,1.205384931044840013e-01,1.270351652427650579e+00,1.000000000000000000e+00
4.014630645608794346e+00,3.877169856167470563e-01,1.752419679548305131e+00,1.000000000000000000e+00
3.278460733565117913e+00,3.133095861506263180e-02,2.110476026256018489e+00,1.000000000000000000e+00
2.162717349766665631e+00,-7.721608519224473222e-01,1.445743326176870847e+00,1.000000000000000000e+00
2.511721403591149926e+00,-1.168401571834821739e+00,8.211008963013666229e-01,1.000000000000000000e+00
2.995721769182416061e+00,-7.525126198360593266e-01,8.082546174114191295e-01,1.000000000000000000e+00
2.715194963593801525e+00,-1.186874571080602792e+00,1.321177579659916557e+00,1.000000000000000000e+00
2.566502417978618666e+00,-7.956402732109943976e-01,1.574654661969032921e+00,1.000000000000000000e+00
2.065777711475639045e+00,-5.025305198470976231e-01,1.247313468854124086e+00,1.000000000000000000e+00
1.970894438833414197e+00,-1.063777821271138846e+00,1.334899412679619424e+00,1.000000000000000000e+00
3.349567152510658286e+00,-8.982655101315070167e-01,1.489384332813850076e+00,1.000000000000000000e+00
2.825332434158818629e+00,-1.217037318524962330e+00,9.091812537457812926e-01,1.000000000000000000e+00
1.199623375312186546e+00,-1.577058530960030014e+00,3.996729352018539849e-01,1.000000000000000000e+00
1.705119753671771488e+00,-1.439228279463115490e+00,8.145953498142096683e-01,1.000000000000000000e+00
2.339257307129365415e+00,-2.103587510769598268e+00,2.841787150248569205e-01,1.000000000000000000e+00
1.978459626198574295e+00,-1.524475892526885090e+00,1.316817114858404247e+00,1.000000000000000000e+00
1.511100347833080448e+00,-1.938035104906032702e+00,2.125183637587499508e+00,1.000000000000000000e+00
