longitude,latitude,altitude,timestamp,Pressure_surface,Relative_humidity_isobaric,Temperature_isobaric,Wind_speed_gust_surface,u-component_of_wind_isobaric,v-component_of_wind_isobaric,latent1,latent2,latent3,episode
1.676440991035862416e+00,1.879254713714707092e+00,-1.888425442436838519e+00,-6.113060971804538113e-01,7.491588043972576827e-01,-5.777010443015787589e-01,1.631601486310482407e+00,-1.668365300455044442e-01,-8.140425087950131644e-01,-6.469238361725866415e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.678914144060531077e+00,1.867687983118186290e+00,-1.863211134061360408e+00,-6.112972644506037279e-01,7.491588043972576827e-01,-5.777010443015787589e-01,1.631601486310482407e+00,-1.668365300455044442e-01,-8.140425087950131644e-01,-6.469238361725866415e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.682072440121297863e+00,1.859266538930381518e+00,-1.830288120900949611e+00,-6.112884317207536444e-01,7.491588043972576827e-01,-5.777010443015787589e-01,1.552484846995463075e+00,-1.668365300455044442e-01,-7.893413207597963499e-01,-6.804253178681668457e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.685656960578776786e+00,1.834808210121102734e+00,-1.817777370600467179e+00,-6.112795989909035610e-01,7.491588043972576827e-01,-5.777010443015787589e-01,1.552484846995463075e+00,-1.668365300455044442e-01,-7.893413207597963499e-01,-6.804253178681668457e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.687231314117764391e+00,1.807235139485755537e+00,-1.803638629914710911e+00,-6.112707662610534776e-01,7.491588043972576827e-01,-5.777010443015787589e-01,1.552484846995463075e+00,-1.668365300455044442e-01,-7.893413207597963499e-01,-6.804253178681668457e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.688070304945467726e+00,1.788634894173573464e+00,-1.785110254645830619e+00,-6.112619335312033941e-01,7.491588043972576827e-01,-5.777010443015787589e-01,1.552484846995463075e+00,-1.668365300455044442e-01,-7.893413207597963499e-01,-6.804253178681668457e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.687348843998170533e+00,1.762674631263484226e+00,-1.774281067709244430e+00,-6.112531008013533107e-01,1.479550527949050842e+00,-1.916078415621155495e-01,1.399196358322613909e+00,-7.464702702867117567e-01,-7.928700619076844980e-01,-7.266892687811106200e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.685790569165630970e+00,1.741321463332706543e+00,-1.775814765550354890e+00,-6.112442680715032273e-01,1.479550527949050842e+00,-1.916078415621155495e-01,1.399196358322613909e+00,-7.464702702867117567e-01,-7.928700619076844980e-01,-7.266892687811106200e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.681556771868763622e+00,1.713061550858959503e+00,-1.746297395226575011e+00,-6.112354353416530328e-01,1.479550527949050842e+00,-1.916078415621155495e-01,1.399196358322613909e+00,-7.464702702867117567e-01,-7.928700619076844980e-01,-7.266892687811106200e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.678539704716862646e+00,1.684718830160291336e+00,-1.735105170517019735e+00,-6.112266026118029494e-01,1.479550527949050842e+00,-1.916078415621155495e-01,1.399196358322613909e+00,-7.464702702867117567e-01,-7.928700619076844980e-01,-7.266892687811106200e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.676995804374410426e+00,1.662934688785348447e+00,-1.699780794075823387e+00,-6.112177698819528660e-01,1.479550527949050842e+00,-6.507457042793151070e-01,1.389306778408237131e+00,-7.464702702867117567e-01,-8.253344804682551938e-01,-8.702670474764538922e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
