longitude,latitude,altitude,timestamp,Pressure_surface,Relative_humidity_isobaric,Temperature_isobaric,Wind_speed_gust_surface,u-component_of_wind_isobaric,v-component_of_wind_isobaric,latent1,latent2,latent3,episode
1.672147666529032684e+00,1.854167792098859291e+00,-1.807719422888173666e+00,-1.457734232893368231e+00,8.523444389253928000e-01,1.210153966582062202e+00,1.542595267081086297e+00,-9.396815170337808887e-01,-9.086127715584149112e-01,-2.161905000865573245e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.674665780394565706e+00,1.830072023517746560e+00,-1.781737761872230097e+00,-1.457725400163518259e+00,8.523444389253928000e-01,1.231023869432844364e+00,1.478312997637633242e+00,-9.396815170337808887e-01,-7.928700619076844980e-01,-3.671827671737840082e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.676183663476096042e+00,1.810268697944312999e+00,-1.752970276049900633e+00,-1.457716567433668065e+00,8.523444389253928000e-01,1.231023869432844364e+00,1.478312997637633242e+00,-9.396815170337808887e-01,-7.928700619076844980e-01,-3.671827671737840082e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.678144425406452367e+00,1.794012648675200161e+00,-1.725354837622600668e+00,-1.457707734703817870e+00,8.523444389253928000e-01,1.231023869432844364e+00,1.478312997637633242e+00,-9.396815170337808887e-01,-7.928700619076844980e-01,-3.671827671737840082e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.680798852521324216e+00,1.765236554135199754e+00,-1.709817745011351864e+00,-1.457698901973967898e+00,8.523444389253928000e-01,1.231023869432844364e+00,1.478312997637633242e+00,-9.396815170337808887e-01,-7.928700619076844980e-01,-3.671827671737840082e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.683379702426861746e+00,1.736123484539221939e+00,-1.700400721423639849e+00,-1.457690069244117703e+00,1.556919307550328702e+00,3.197047782820387485e-01,1.478312997637633242e+00,2.410538797538638034e-01,-6.446629336963832779e-01,5.022604482591271069e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.681238331445819689e+00,1.714926779850791005e+00,-1.671465421776780369e+00,-1.457681236514267731e+00,1.556919307550328702e+00,3.197047782820387485e-01,1.478312997637633242e+00,2.410538797538638034e-01,-6.446629336963832779e-01,5.022604482591271069e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.677082441247522038e+00,1.692668311581446261e+00,-1.646293045955153467e+00,-1.457672403784417536e+00,1.556919307550328702e+00,3.197047782820387485e-01,1.478312997637633242e+00,2.410538797538638034e-01,-6.446629336963832779e-01,5.022604482591271069e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.673596161438058783e+00,1.680089105784716708e+00,-1.620214604938556846e+00,-1.457663571054567564e+00,1.556919307550328702e+00,-1.463897187187548354e-01,1.418975518151370130e+00,2.410538797538638034e-01,-6.390169478597621522e-01,-1.621486369627897408e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.670144342247739333e+00,1.662087596846990589e+00,-1.602753798650374373e+00,-1.457654738324717369e+00,1.556919307550328702e+00,-1.463897187187548354e-01,1.418975518151370130e+00,2.410538797538638034e-01,-6.390169478597621522e-01,-1.621486369627897408e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.667407457824434669e+00,1.639082646916022457e+00,-1.575308439064866173e+00,-1.457645905594867397e+00,1.556919307550328702e+00,-1.463897187187548354e-01,1.418975518151370130e+00,2.410538797538638034e-01,-6.390169478597621522e-01,-1.621486369627897408e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.664472130863739130e+00,1.620245474723205126e+00,-1.555763478097855312e+00,-1.457637072865017203e+00,1.556919307550328702e+00,-1.463897187187548354e-01,1.418975518151370130e+00,2.410538797538638034e-01,-6.390169478597621522e-01,-1.621486369627897408e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.661952926052118640e+00,1.609720018965062893e+00,-1.515195896294409428e+00,-1.457628240135167008e+00,1.556919307550328702e+00,-1.463897187187548354e-01,1.418975518151370130e+00,2.410538797538638034e-01,-6.390169478597621522e-01,-1.621486369627897408e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.658069851082780710e+00,1.593652023093826919e+00,-1.487643540557532562e+00,-1.457619407405317036e+00,1.556919307550328702e+00,-4.385683586297000613e-01,1.409085938236993352e+00,2.410538797538638034e-01,-4.089430250174565518e-01,2.948703234769649295e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.655661560487429851e+00,1.578105941453764371e+00,-1.460714014266338179e+00,-1.457610574675466841e+00,1.556919307550328702e+00,-4.385683586297000613e-01,1.409085938236993352e+00,2.410538797538638034e-01,-4.089430250174565518e-01,2.948703234769649295e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.650050559290359153e+00,1.569279764133832966e+00,-1.423955605046738571e+00,-1.457601741945616869e+00,1.556919307550328702e+00,-4.385683586297000613e-01,1.409085938236993352e+00,2.410538797538638034e-01,-4.089430250174565518e-01,2.948703234769649295e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.646331160386648174e+00,1.560171452859592245e+00,-1.408450918782888195e+00,-1.457592909215766674e+00,1.556919307550328702e+00,-4.385683586297000613e-01,1.409085938236993352e+00,2.410538797538638034e-01,-4.089430250174565518e-01,2.948703234769649295e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.643453707488047311e+00,1.554354170788106337e+00,-1.361536877280588032e+00,-1.457584076485916702e+00,1.556919307550328702e+00,-4.385683586297000613e-01,1.409085938236993352e+00,2.410538797538638034e-01,-4.089430250174565518e-01,2.948703234769649295e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
