dlon,dlat,dalt,episode
1.761454476569202621e+00,-1.163895515663244229e+00,1.169853727287347045e+00,1.000000000000000000e+00
4.886629856443751585e-01,-7.668956530065700328e-01,2.542021218014023809e+00,1.000000000000000000e+00
1.316056335833593494e+00,-5.659207247454105527e-01,1.691428730287648508e+00,1.000000000000000000e+00
2.710496269460600960e+00,-1.996466144644577723e+00,1.661092128383201416e-01,1.000000000000000000e+00
1.346856805646265087e+00,-7.497210317361515663e-01,9.292784055213765271e-02,1.000000000000000000e+00
7.739346539076318310e-01,-9.680393274416807525e-01,1.528762578912550296e+00,1.000000000000000000e+00
1.195991208933159911e+00,-1.772977574136052281e+00,1.020163806118324912e+00,1.000000000000000000e+00
1.198464523469839005e+00,-1.551500204828078155e+00,5.399789798021827902e-01,1.000000000000000000e+00
1.552853734218843984e+00,-2.635391376729587343e+00,9.318210709675681658e-01,1.000000000000000000e+00
2.395910932582031805e+00,-1.753246605833502114e+00,1.388432169124688365e+00,1.000000000000000000e+00
1.365855637404147283e+00,-1.183244327878791191e+00,2.904928817929240958e-01,1.000000000000000000e+00
1.675031011604181774e+00,-2.170200736077943837e+00,1.720243874900826864e+00,1.000000000000000000e+00
1.118001471835927463e+00,-1.799717889181524422e+00,7.480751380412324902e-01,1.000000000000000000e+00
4.832508524056752242e-01,-1.045028700510882480e+00,2.294060747175270976e+00,1.000000000000000000e+00
9.099995241526479539e-01,-9.433201767182679554e-01,8.149018344047507245e-01,1.000000000000000000e+00
1.115947476997309007e+00,-1.608870093698691939e+00,1.538959538812463501e+00,1.000000000000000000e+00
-2.160367103494764685e-02,-2.253787264263679813e+00,2.194464471989666876e+00,1.000000000000000000e+00
4.217117031792222415e-01,-1.700638122201839408e+00,1.472655472212193617e+00,1.000000000000000000e+00
4.081311693957197506e-01,-1.811475633905070382e+00,1.879555924403505163e+00,1.000000000000000000e+00
6.629788872326086713e-01,-1.594213986953158635e+00,1.985123407617677360e+00,1.000000000000000000e+00
-5.375807438730018095e-02,-1.325610461782543492e+00,1.756619767979847646e+00,1.000000000000000000e+00
8.608580834214774047e-01,-1.943291019855658996e+00,2.324260829596407341e+00,1.000000000000000000e+00
-8.509471191284234681e-02,-9.680759018520642689e-01,1.321959070565773553e+00,1.000000000000000000e+00
4.856258456247411481e-01,-5.210796056692661438e-01,1.059325292794638385e+00,1.000000000000000000e+00
-6.527244226515553915e-01,3.766439875597485387e-02,1.952079071058430149e+00,1.000000000000000000e+00
6.735215690364040886e-02,-3.369951579915974604e-01,3.056508985990104676e+00,1.000000000000000000e+00
4.923674004608699639e-01,-3.933036672576722959e-01,3.275630976014205942e+00,1.000000000000000000e+00
