dlon,dlat,dalt,episode
3.119211798040820938e+00,-2.270218928775555867e+00,2.093699282175014442e+00,1.000000000000000000e+00
2.666295920873630099e+00,-1.779162967848446630e+00,2.319688668423039335e+00,1.000000000000000000e+00
2.866836501610449783e+00,-1.373354161257547057e+00,2.226233228176185186e+00,1.000000000000000000e+00
3.180935987978960711e+00,-2.805648742775912474e+00,1.246423603535157465e+00,1.000000000000000000e+00
3.147619390611476220e+00,-2.844198726929032084e+00,7.499564031375947071e-01,1.000000000000000000e+00
1.009344055329681744e+00,-1.938565694694041053e+00,2.333301923327854244e+00,1.000000000000000000e+00
9.714683750128993989e-02,-2.060031567292317511e+00,2.028049114962761301e+00,1.000000000000000000e+00
4.003540387490173713e-01,-9.527228561265445039e-01,2.101550189704658678e+00,1.000000000000000000e+00
4.159581991056171546e-01,-1.573034942878345666e+00,1.402477520554860080e+00,1.000000000000000000e+00
7.396887943829304479e-01,-2.145429153003131528e+00,2.212436232405957437e+00,1.000000000000000000e+00
6.498317560602209220e-01,-1.668634912872485110e+00,1.571546600431917629e+00,1.000000000000000000e+00
8.382565987777422789e-01,-7.177736216433419081e-01,3.276926339050167947e+00,1.000000000000000000e+00
2.206806765962435191e-01,-1.351840831472489235e+00,2.221115886102525305e+00,1.000000000000000000e+00
8.884798176143473558e-01,-1.292133784961112752e+00,2.170591228613527157e+00,1.000000000000000000e+00
-5.617439754245213690e-01,-5.233759779549485014e-01,2.967921776967549885e+00,1.000000000000000000e+00
2.947950610168072472e-01,-5.556521339341464749e-01,1.243794762503121820e+00,1.000000000000000000e+00
6.760377897256448776e-01,-1.791580244687458745e-01,3.791758617413151455e+00,1.000000000000000000e+00
3.146033952941032497e-01,6.786351628375806300e-01,3.138000024272198818e+00,1.000000000000000000e+00
2.439402117704260742e-01,1.648394687259043812e-01,1.903475885301784132e+00,1.000000000000000000e+00
5.734977166817314398e-01,-1.870533392455097643e-01,3.091374970182100057e+00,1.000000000000000000e+00
-1.120070719354527289e-01,-1.109599418772637458e+00,3.915306110482505098e+00,1.000000000000000000e+00
5.603709919033708076e-01,9.395026391046230607e-01,3.053309992312531751e+00,1.000000000000000000e+00
-2.720518475693511351e-01,5.935160569577044853e-01,2.238482337514445586e+00,1.000000000000000000e+00
3.867512087205573490e-01,4.222823060006212770e-01,2.122729455625649742e+00,1.000000000000000000e+00
-3.225423633583774929e-01,-7.239865045973428170e-01,1.428139257397177175e+00,1.000000000000000000e+00
-5.551577025193172865e-01,-4.453961571319010604e-01,2.383222974627883239e+00,1.000000000000000000e+00
-5.352400850782450537e-01,-5.477325771180225900e-01,3.204769213721104570e+00,1.000000000000000000e+00
-9.523419795466487869e-01,1.207232323757286174e+00,3.001015438107098365e+00,1.000000000000000000e+00
5.095878218596042730e-01,2.508067298912984577e-02,2.517288808767998542e+00,1.000000000000000000e+00
-8.789680857700019057e-02,4.043520941078799780e-01,2.349976707908439710e+00,1.000000000000000000e+00
-7.823883260745101431e-02,-4.128865172642254833e-01,3.560732570743542880e+00,1.000000000000000000e+00
-3.769590458533797483e-01,-1.274136198126245845e-01,2.812391648038937930e+00,1.000000000000000000e+00
-2.950597222455308422e-01,-2.513581658462768487e-02,2.764956084706777339e+00,1.000000000000000000e+00
7.376634053260715529e-01,-1.266829770721523030e+00,2.043346170944427165e+00,1.000000000000000000e+00
-7.487722159871251781e-02,-1.275048142883908886e-01,2.320466383092483653e+00,1.000000000000000000e+00
1.438193647448671619e+00,-4.565444633393772600e-02,8.162653277027190901e-01,1.000000000000000000e+00
1.370508483814948164e+00,1.367007946102389404e+00,2.495700490484408895e+00,1.000000000000000000e+00
8.221792282150821585e-01,-1.395324634951734533e-01,1.802159392190258780e+00,1.000000000000000000e+00
5.811515927178119156e-01,3.118667947015521524e-01,1.989040112299381269e+00,1.000000000000000000e+00
8.246742988891216930e-01,2.947895813402671150e-01,2.409313896276262579e+00,1.000000000000000000e+00
