trajectory_ID,longitude,latitude,altitude,timestamp
20160404_VLG1027_LEBL_LEMD,2.0602763758578204,41.2719910035151,1260.0,1459796624
20160404_VLG10AC_LEBL_LEMD,2.082366,41.285404,0.0,1459747200
20160404_VLG10FH_LEBL_LEMD,2.06946458126492,41.2800252117621,720.0,1459783697
20160404_VLG10KL_LEBL_LEMD,2.0638197571478303,41.276259212690796,920.0,1459760544
20160404_VLG10MN_LEBL_LEMD,2.06581674333324,41.27836543985921,660.0,1459773715
20160405_AEA2057_LEBL_LEMD,2.1061513816968,41.293047427051,780.0,1459852084
20160405_AEA2159_LEBL_LEMD,2.11435496507011,41.295997380977504,700.0,1459881924
20160405_IBE06GZ_LEBL_LEMD,2.11182124274137,41.2948180121694,700.0,1459832702
20160405_IBE0721_LEBL_LEMD,2.1139553775988102,41.2951352293745,940.0,1459835938
20160405_IBE08GV_LEBL_LEMD,2.11423637384689,41.29612723338,880.0,1459837284
20160405_IBE08HN_LEBL_LEMD,2.1079119615568502,41.293448048611495,633.3333333333339,1459839384
20160405_IBE09RL_LEBL_LEMD,2.105803,41.29314,700.0,1459842241
20160405_IBE1045_LEBL_LEMD,2.10670399058711,41.293573341462796,833.333333333334,1459848096
20160405_IBE1131_LEBL_LEMD,2.10107778970644,41.29138120970421,680.0,1459849767
20160405_IBE13YN_LEBL_LEMD,2.10471957733296,41.29256562153721,680.0,1459855213
20160405_IBE1501_LEBL_LEMD,2.11648642301668,41.294161638473604,1280.0,1459861994
20160405_IBE16LH_LEBL_LEMD,2.10725757441116,41.293209639713396,940.0,1459865440
20160405_IBE17CC_LEBL_LEMD,2.10903981955232,41.29404167834871,733.333333333334,1459871341
20160405_IBE1925_LEBL_LEMD,2.1096401794020503,41.2945348215265,880.0,1459878263
20160405_IBE20DC_LEBL_LEMD,2.10921537715058,41.2937852301323,1120.0,1459879584
20160405_IBE2101_LEBL_LEMD,2.11523038227972,41.295356257531,960.0,1459883920
20160405_IBE2727_LEBL_LEMD,2.11422559427524,41.295225811854294,840.0,1459844177
20160405_VLG10AC_LEBL_LEMD,2.08852096083081,41.287040434406,60.0,1459833523
20160405_VLG10AH_LEBL_LEMD,2.11416777784257,41.2951506398985,980.0,1459872689
20160405_VLG10FH_LEBL_LEMD,2.1094908217467,41.291986412914,1040.0,1459869187
20160405_VLG10HJ_LEBL_LEMD,2.11274578312623,41.295432219857,1080.0,1459858983
20160405_VLG10KL_LEBL_LEMD,2.1141165578033,41.2954246445411,820.0,1459842374
20160405_VLG10PA_LEBL_LEMD,2.10252,41.291416,700.0,1459865686
20160405_VLG10TY_LEBL_LEMD,2.11219548772806,41.2946555163848,850.0,1459882157
20160405_VLG10XY_LEBL_LEMD,2.11041039215797,41.2932894287401,780.0,1459877008
20160406_AEA2057_LEBL_LEMD,2.06375635639574,41.276729020359,920.0,1459938144
20160406_AEA2159_LEBL_LEMD,2.06345655824293,41.2783584500865,960.0,1459967770
20160406_IBE06GZ_LEBL_LEMD,2.06571476433214,41.2790110206075,620.0,1459919178
20160406_IBE0721_LEBL_LEMD,2.0621939500445,41.2778396432785,780.0,1459921334
20160406_IBE08GV_LEBL_LEMD,2.06577935902067,41.2750636129432,1060.0,1459923655
20160406_IBE09RL_LEBL_LEMD,2.06504838538603,41.2777218018011,860.0,1459928346
20160406_IBE1045_LEBL_LEMD,2.06496558416234,41.2779048020054,860.0,1459933327
20160406_IBE1131_LEBL_LEMD,2.06594516482414,41.2791064266462,720.0,1459935813
20160406_IBE13YN_LEBL_LEMD,2.06341515745692,41.27590280896779,920.0,1459941179
20160406_IBE16LH_LEBL_LEMD,2.07060358163994,41.280474806597,640.0,1459951762
20160406_IBE17CC_LEBL_LEMD,2.06159834904599,41.2766266338292,880.0,1459957704
20160406_IBE18VM_LEBL_LEMD,2.0655463656000803,41.2759172106593,980.0,1459961920
20160406_IBE1925_LEBL_LEMD,2.065799,41.279778,600.0,1459964556
20160406_IBE20DC_LEBL_LEMD,2.07358698591054,41.281967262466004,550.0,1459966222
20160406_IBE2101_LEBL_LEMD,2.0654039637028103,41.27841001726429,750.0,1459969868
20160406_IBE2727_LEBL_LEMD,2.0638401611292903,41.2782034356467,820.0,1459930594
20160406_VLG10AC_LEBL_LEMD,2.068388,41.280201,600.0,1459920221
20160406_VLG10CC_LEBL_LEMD,2.06598638294542,41.277889604148505,1020.0,1459962587
20160406_VLG10CE_LEBL_LEMD,2.07756616523238,41.2833778340895,180.0,1459921518
20160406_VLG10FG_LEBL_LEMD,2.06737916024338,41.2793824364255,620.0,1459923469
20160406_VLG10KL_LEBL_LEMD,2.06948015120361,41.2803802582375,560.0,1459929190
20160406_VLG10MN_LEBL_LEMD,2.06544038366826,41.2774840047628,940.0,1459946052
20160406_VLG10MQ_LEBL_LEMD,2.06370876507083,41.2762170097081,1080.0,1459962318
20160406_VLG10PA_LEBL_LEMD,2.07321596217992,41.2819418387583,600.0,1459951609
20160406_VLG10TY_LEBL_LEMD,2.064395,41.277866,900.0,1459968530
20160407_AEA2057_LEBL_LEMD,2.077844,41.283371,200.0,1460024016
20160407_AEA2159_LEBL_LEMD,2.1125329705169,41.2952756470051,1060.0,1460054775
20160407_ANE6392_LEBL_LEMD,2.07464296820353,41.280299008310706,880.0,1460046013
20160407_IBE06GZ_LEBL_LEMD,2.06519995459269,41.27723682071321,860.0,1460005590
20160407_IBE0721_LEBL_LEMD,2.06252647333361,41.2740290043032,1150.0,1460007548
20160407_IBE08GV_LEBL_LEMD,2.06558273283622,41.2777895031965,850.0,1460009887
20160407_IBE08HN_LEBL_LEMD,2.067126,41.279858,600.0,1460012566
20160407_IBE09RL_LEBL_LEMD,2.0609987408596497,41.2753648197996,1120.0,1460015060
20160407_IBE1045_LEBL_LEMD,2.06527420737768,41.2740296005027,1160.0,1460019669
20160407_IBE1131_LEBL_LEMD,2.06777996715596,41.2791810159581,720.0,1460021988
20160407_IBE13YN_LEBL_LEMD,2.07001998309886,41.28042820994371,640.0,1460027987
20160407_IBE1501_LEBL_LEMD,2.06956,41.280464,700.0,1460034911
20160407_IBE16LH_LEBL_LEMD,2.06528364687278,41.27609533569871,1133.33333333333,1460038814
20160407_IBE17CC_LEBL_LEMD,2.06461376545667,41.2790014261143,680.0,1460046608
20160407_IBE18VM_LEBL_LEMD,2.06601097637895,41.2789666077921,640.0,1460047957
20160407_IBE1925_LEBL_LEMD,2.065198,41.279114,700.0,1460050946
20160407_IBE20DC_LEBL_LEMD,2.1146919821947,41.2948412580875,960.0,1460053195
20160407_IBE2101_LEBL_LEMD,2.11341138475518,41.2951270496426,720.0,1460056474
20160407_IBE2727_LEBL_LEMD,2.06719031165449,41.2796156815918,666.666666666667,1460017547
20160407_VLG10AC_LEBL_LEMD,2.085335,41.28651,0.0,1460006256
20160407_VLG10CC_LEBL_LEMD,2.099092,41.29113,100.0,1460056585
20160407_VLG10CE_LEBL_LEMD,2.06709355966802,41.279726242410895,680.0,1460008819
20160407_VLG10FG_LEBL_LEMD,2.07236017153082,41.281513428249,380.0,1460009713
20160407_VLG10FH_LEBL_LEMD,2.07849218177398,41.2838118134573,140.0,1460042257
20160407_VLG10HJ_LEBL_LEMD,2.069185,41.280582,600.0,1460012661
20160407_VLG10KL_LEBL_LEMD,2.062566,41.275002,1200.0,1460018770
20160407_VLG10KM_LEBL_LEMD,2.11289536948084,41.2953126415723,920.0,1460054049
20160407_VLG10MN_LEBL_LEMD,2.06742978692773,41.276083200784996,920.0,1460032583
20160407_VLG10VW_LEBL_LEMD,2.0789310000000003,41.283916,100.0,1460049026
20160408_AEA2057_LEBL_LEMD,2.112808,41.292797,800.0,1460111415
20160408_AEA2159_LEBL_LEMD,2.0670853752872103,41.279027623251,920.0,1460141854
20160408_IBE0721_LEBL_LEMD,2.11184178208578,41.2951254310692,920.0,1460094248
20160408_IBE08GV_LEBL_LEMD,2.06867658312194,41.2797410102984,640.0,1460096142
20160408_IBE08HN_LEBL_LEMD,2.068917,41.280102,800.0,1460098606
20160408_IBE09RL_LEBL_LEMD,2.1111410108762803,41.2934422584689,1160.0,1460101915
20160408_IBE1131_LEBL_LEMD,2.11182584559106,41.292680861192395,940.0,1460109634
20160408_IBE1501_LEBL_LEMD,2.066151,41.279541,700.0,1460123421
20160408_IBE16LH_LEBL_LEMD,2.07106296655559,41.2812128459821,560.0,1460125005
20160408_IBE17CC_LEBL_LEMD,2.0646814598884498,41.277696517922,900.0,1460134243
20160408_IBE18VM_LEBL_LEMD,2.07556815568614,41.282873677413896,450.0,1460134121
20160408_IBE1925_LEBL_LEMD,2.063987,41.2761,1300.0,1460137350
20160408_IBE2101_LEBL_LEMD,2.06902836837821,41.2801832277591,620.0,1460142814
20160408_VLG10CE_LEBL_LEMD,2.080481,41.28442800000001,100.0,1460095591
20160408_VLG10FH_LEBL_LEMD,2.07969796185705,41.2842498532451,80.0,1460128640
20160408_VLG10HJ_LEBL_LEMD,2.06049213381004,41.274193833527896,1320.0,1460099049
20160408_VLG10KL_LEBL_LEMD,2.0930409688516,41.2886600318418,-50.0,1460101773
20160408_VLG10MN_LEBL_LEMD,2.0742668191666103,41.281480511787706,350.0,1460118731
20160408_VLG10MQ_LEBL_LEMD,2.06948375920524,41.280281240704106,860.0,1460144775
20160408_VLG10VW_LEBL_LEMD,2.07384098662044,41.2821372121245,200.0,1460138497
20160408_VLG10XY_LEBL_LEMD,2.068406,41.276016,1000.0,1460140635
20160409_AEA2057_LEBL_LEMD,2.0703939739628403,41.2809358235015,880.0,1460198378
